,title,link,hood,price,bed,bath,sqft,type,laundry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,region
91,1BD/1BTH -RENOV-LRGE PRIVATE PATIO DECK!!,https://sfbay.craigslist.org/sby/apa/d/1bd-1bth-renov-lrge-private/6552094584.html,(LAX/Westchester),2126,1,1.0,875.0,apartment,2,6,1,1,0,1,0,6,148,0
92,Sunny Corner Home Available Now! Don't Miss Out!,https://sfbay.craigslist.org/sby/apa/d/sunny-corner-home-available/6567694175.html,(santa clara),3859,3,2.0,1185.0,apartment,5,5,1,1,0,1,0,15,261,0
93,Many long term residents a great place to live pets pets OK no smoking,https://sfbay.craigslist.org/sby/apa/d/many-long-term-residents/6567712499.html,(sunnyvale),2240,2,1.0,940.0,apartment,4,4,1,1,0,1,0,20,102,0
94,Brand New Master Rm & Private Bath close to Downtown San Jose,https://sfbay.craigslist.org/sby/apa/d/brand-new-master-rm-private/6560225049.html,(san jose south),1850,1,1.0,,townhouse,5,6,0,0,0,1,0,7,379,0
95,2BA UNITS IN A CLEAN QUIET BLDG. Cat Ok 7 minutes to Apple Netflix bo2,https://sfbay.craigslist.org/sby/apa/d/2ba-units-in-clean-quiet-bldg/6567710086.html,(san jose west),2395,2,2.0,870.0,apartment,2,4,1,0,0,0,0,21,133,0
96,Renovated 1bd/1ba in Beautiful Community!Everything you could ask for!,https://sfbay.craigslist.org/sby/apa/d/renovated-1bd-1ba-in/6567707849.html,(san jose downtown),2761,1,1.0,858.0,apartment,5,5,1,1,0,1,1,10,499,0
97,Private Apartment - 1 bed/bath - Downtown LG,https://sfbay.craigslist.org/sby/apa/d/private-apartment-1-bed-bath/6567708334.html,(los gatos),2550,1,1.0,700.0,apartment,5,2,0,0,0,1,0,8,202,0
98,2 bed 2 bath Courtyard View,https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-courtyard-view/6567706652.html,(campbell),2780,2,2.0,850.0,apartment,5,4,1,1,0,1,0,24,115,0
99,Come Experience The Verdant Lifestyle! Apply Today and Save $799!,https://sfbay.craigslist.org/sby/apa/d/come-experience-the-verdant/6567706557.html,(san jose north),3275,2,2.0,983.0,apartment,5,5,1,1,0,1,1,6,473,0
100,Pool Apple Google Cat OK AC Friendly Community Dishwasher Mature Landscaping bo1,https://sfbay.craigslist.org/sby/apa/d/pool-apple-google-cat-ok-ac/6567706508.html,(san jose west),1890,1,1.0,660.0,apartment,2,4,1,0,0,0,0,16,190,0
101,Wonderful 2B2B Near Top Silicon Valley Companies!,https://sfbay.craigslist.org/sby/apa/d/wonderful-2b2b-near-top/6565767799.html,,3522,2,2.0,,apartment,0,0,0,0,0,0,0,9,144,0
102,dogs cats OK Single Story AC great home bd1,https://sfbay.craigslist.org/sby/apa/d/dogs-cats-ok-single-story-ac/6567705571.html,(santa clara),1830,1,1.0,465.0,apartment,2,2,1,1,0,0,0,14,173,0
103,2 bedroom 2 bathroom ready now... Top floor w/fireplace & WD,https://sfbay.craigslist.org/sby/apa/d/2-bedroom-2-bathroom-ready/6567705426.html,(san jose south),2588,2,2.0,1061.0,apartment,5,5,1,1,0,0,0,9,356,0
104,WAIVED APPLICATION FEE & $99 DEPSOIT,https://sfbay.craigslist.org/sby/apa/d/waived-application-fee-99/6567698800.html,(san jose south),2593,2,2.0,940.0,apartment,0,0,0,0,0,0,0,3,178,0
105,Intel Google Apple Dogs Cats Welcome Central Air bds,https://sfbay.craigslist.org/sby/apa/d/intel-google-apple-dogs-cats/6567704658.html,(santa clara),1740,0,1.0,405.0,apartment,2,2,1,1,0,0,0,17,153,0
106,** Fully Furnished Private Entrance With Private Bathroom In Law,https://sfbay.craigslist.org/sby/apa/d/fully-furnished-private/6561588223.html,(santa clara),1475,1,1.0,320.0,in-law,4,0,0,0,0,0,0,6,256,0
107,Cupertino Townhome,https://sfbay.craigslist.org/sby/apa/d/cupertino-townhome/6562749716.html,(cupertino),3550,2,2.0,,townhouse,5,6,0,0,0,0,0,2,181,0
108,Great Apartment Available in heart of Sunnyvale,https://sfbay.craigslist.org/sby/apa/d/great-apartment-available-in/6567701276.html,(sunnyvale),2350,1,1.0,710.0,apartment,5,4,1,1,0,0,1,4,63,0
109,"Very spacious layout, Look & Lease 1B1B !!",https://sfbay.craigslist.org/sby/apa/d/very-spacious-layout-look/6567699896.html,(sunnyvale),2705,1,1.0,690.0,apartment,5,4,1,1,0,1,0,11,207,0
110,Beautiful 1b/1b lease transfer from april 15th.w/d inside home!,https://sfbay.craigslist.org/sby/apa/d/beautiful-1b-1b-lease/6561869454.html,(sunnyvale),1995,1,1.0,700.0,apartment,5,4,0,0,0,1,0,10,199,0
111,"2Bed x 1Bath: Upstairs, High Ceiling & Pergo Floor &Granite Counters",https://sfbay.craigslist.org/sby/apa/d/2bed-1bath-upstairs-high/6567681679.html,(san jose west),2350,2,1.0,900.0,apartment,2,4,0,0,0,1,0,6,108,0
112,1x1 Enjoy the Beauty of San Jose in this Perfect Location!,https://sfbay.craigslist.org/sby/apa/d/1x1-enjoy-the-beauty-of-san/6567669875.html,(san jose west),1895,1,1.0,675.0,apartment,2,4,0,0,0,1,0,5,69,0
113,"If You're Not Living Here, Then You Aren't Living At All!",https://sfbay.craigslist.org/sby/apa/d/if-youre-not-living-here-then/6567696112.html,(sunnyvale),3266,2,2.0,1198.0,apartment,5,4,1,1,0,1,0,20,222,0
